cond,s21_db,s11_db,nf_db
NOM,18.411047080835232,-0.029690099758397297,1.1716044994062134
TID,16.884971227839934,-0.052349030799754476,1.9930664253391217
DD,17.043492550325787,-0.033079457352512304,1.4930899476320318
